iter,scenario,url,http_code,ttfb_s,total_s,size_bytes
1,A,http://localhost:3000/,200,0.001526,0.002000,101875
1,B,http://localhost:3000/mail/inbox,200,0.002688,0.002744,6049
2,B,http://localhost:3000/mail/inbox,200,0.001927,0.001995,6049
2,A,http://localhost:3000/,200,0.001423,0.001921,101875
3,A,http://localhost:3000/,200,0.001868,0.002363,101875
3,B,http://localhost:3000/mail/inbox,200,0.002038,0.002105,6049
4,B,http://localhost:3000/mail/inbox,200,0.001997,0.002038,6049
4,A,http://localhost:3000/,200,0.002020,0.002507,101875
5,A,http://localhost:3000/,200,0.001485,0.001987,101875
5,B,http://localhost:3000/mail/inbox,200,0.002500,0.002544,6049
6,B,http://localhost:3000/mail/inbox,200,0.001775,0.001850,6049
6,A,http://localhost:3000/,200,0.002272,0.002707,101875
7,A,http://localhost:3000/,200,0.001489,0.002210,101875
7,B,http://localhost:3000/mail/inbox,200,0.001708,0.001785,6049
8,B,http://localhost:3000/mail/inbox,200,0.001796,0.001867,6049
8,A,http://localhost:3000/,200,0.001369,0.001839,101875
9,A,http://localhost:3000/,200,0.001612,0.002039,101875
9,B,http://localhost:3000/mail/inbox,200,0.002214,0.002271,6049
10,B,http://localhost:3000/mail/inbox,200,0.002512,0.002555,6049
10,A,http://localhost:3000/,200,0.001925,0.002357,101875
